"CNT","SCHOOLID","ST04Q01","ST06Q01","ST10Q01","ST14Q01","ST21Q01","ST21Q02","ST21Q03","ST21Q04","ST22Q01","ST23Q01","ST28Q01","ST28Q02","ST28Q03","ST25Q01","ST25Q02","ST25Q03","ST25Q04","ST25Q05","COUNTRY","PUBPRIV","math","reading","science","ReadingTime","MotherEd","FatherEd","ParentEd"
"Trinidad and Tobago",1,"Male",5,"<ISCED level 3A>","Did Not Complete <ISCED level 1>","Three or more","Three or more","One","One","11-25 books","Between 30 and 60 minutes",45,15,30,"About once a month","A few times a year","A few times a year","Never or almost never","Several times a week","Trinidad and Tobago","Private",1327.35,1285.34,1574.69,13,4,0,4
"Trinidad and Tobago",1,"Male",5,"<ISCED level 1>","<ISCED level 3A>","Three or more","Two","None","Three or more","0-10 books","30 minutes or less a day",45,45,30,"Several times a month","Several times a month","Never or almost never","Never or almost never","Several times a week","Trinidad and Tobago","Private",1339.02,728.18,1171.85,15,1,4,5
"Trinidad and Tobago",1,"Female",5,"<ISCED level 3A>","<ISCED level 3B, 3C>","One","One","One","Three or more","101-200 books","1 to 2 hours a day",45,45,45,"Several times a week","Never or almost never","Never or almost never","Never or almost never","Several times a week","Trinidad and Tobago","Private",1321.12,1493.37,1551.38,13,4,3,7
"Trinidad and Tobago",1,"Male",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","One","One","None","26-100 books","1 to 2 hours a day",45,45,30,"A few times a year","A few times a year","A few times a year","Never or almost never","Several times a week","Trinidad and Tobago","Private",1115.48,587.08,1478.64,12,4,4,8
"Trinidad and Tobago",10,"Female",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","One","None","11-25 books","Between 30 and 60 minutes",30,30,30,"Several times a month","Several times a week","A few times a year","A few times a year","Several times a week","Trinidad and Tobago","Public",1776.79,2250.05,1950.49,18,4,4,8
"Trinidad and Tobago",10,"Female",6,"<ISCED level 3B, 3C>","<ISCED level 2>","Three or more","One","One","One","26-100 books","30 minutes or less a day",35,35,35,"About once a month","A few times a year","Several times a week","Never or almost never","Several times a week","Trinidad and Tobago","Public",1379.54,2046.68,1807.81,16,3,2,5
"Trinidad and Tobago",10,"Male",5,"<ISCED level 1>","<ISCED level 3A>","Three or more","Two","None","None","0-10 books","I don’t read for enjoyment",35,40,35,"Never or almost never","Never or almost never","Several times a week","Never or almost never","Several times a month","Trinidad and Tobago","Public",2322.06,2336.32,1997.11,12,1,4,5
"Trinidad and Tobago",10,"Male",4,"<ISCED level 3A>","<ISCED level 1>","Three or more","One","Two","Two","26-100 books","Between 30 and 60 minutes",35,35,35,"A few times a year","A few times a year","Several times a month","Several times a month","About once a month","Trinidad and Tobago","Public",2049.42,1952.73,2104.35,15,4,1,5
"Trinidad and Tobago",10,"Male",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","One","Two","One","201-500 books","I don’t read for enjoyment",35,35,35,"A few times a year","A few times a year","About once a month","About once a month","Several times a week","Trinidad and Tobago","Public",2452.15,2638.96,2292.24,15,4,4,8
"Trinidad and Tobago",10,"Male",5,"<ISCED level 3A>","<ISCED level 1>","Three or more","Two","None","None","More than 500 books","30 minutes or less a day",30,90,45,"About once a month","Several times a week","About once a month","A few times a year","Several times a week","Trinidad and Tobago","Public",1965.69,1515.42,1454.39,18,4,1,5
"Trinidad and Tobago",10,"Female",5,"<ISCED level 2>","<ISCED level 2>","Three or more","Three or more","Two","Three or more","26-100 books","Between 30 and 60 minutes",40,40,40,"Several times a month","A few times a year","Several times a month","Several times a month","Several times a week","Trinidad and Tobago","Public",2217.68,2500.28,2184.53,19,2,2,4
"Trinidad and Tobago",10,"Female",5,"<ISCED level 2>","<ISCED level 2>","Three or more","One","None","One","26-100 books","1 to 2 hours a day",70,40,70,"About once a month","A few times a year","Several times a month","Several times a month","Several times a week","Trinidad and Tobago","Public",2100.06,2457.77,2125.79,18,2,2,4
"Trinidad and Tobago",10,"Female",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Three or more","None","None","26-100 books","30 minutes or less a day",35,35,35,"About once a month","Several times a month","A few times a year","Never or almost never","Several times a week","Trinidad and Tobago","Public",2044.75,1939.83,1912.26,15,4,4,8
"Trinidad and Tobago",10,"Female",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","One","None","One","26-100 books","30 minutes or less a day",35,35,35,"About once a month","Several times a week","Several times a month","About once a month","Several times a week","Trinidad and Tobago","Public",2090.71,2678.63,1951.41,20,4,4,8
"Trinidad and Tobago",10,"Male",4,"Did not complete <ISCED level 1>","Did Not Complete <ISCED level 1>","Three or more","Three or more","Three or more","One","201-500 books","30 minutes or less a day",40,40,40,"Several times a month","A few times a year","About once a month","A few times a year","Several times a week","Trinidad and Tobago","Public",2426.43,2376.02,2358.91,16,0,0,0
"Trinidad and Tobago",10,"Male",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","One","One","One","101-200 books","30 minutes or less a day",40,40,40,"Several times a week","Several times a month","Several times a month","Several times a month","Several times a week","Trinidad and Tobago","Public",1922.46,1812.83,1493.1,22,4,4,8
"Trinidad and Tobago",10,"Female",4,"<ISCED level 3A>","<ISCED level 1>","Three or more","One","One","One","26-100 books","Between 30 and 60 minutes",45,45,45,"About once a month","Several times a month","Several times a month","About once a month","Several times a week","Trinidad and Tobago","Public",1971.53,2122.94,1951.89,19,4,1,5
"Trinidad and Tobago",10,"Female",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","One","None","None","0-10 books","Between 30 and 60 minutes",40,40,40,"Several times a month","Several times a week","Several times a month","Several times a month","Several times a week","Trinidad and Tobago","Public",2043.98,2208.73,1945.82,22,4,4,8
"Trinidad and Tobago",10,"Male",5,"Did not complete <ISCED level 1>","<ISCED level 2>","Three or more","Two","One","One","11-25 books","30 minutes or less a day",40,40,40,"About once a month","A few times a year","A few times a year","A few times a year","Several times a week","Trinidad and Tobago","Public",2314.25,2270.59,2440.04,14,0,2,2
"Trinidad and Tobago",10,"Male",4,"<ISCED level 3A>","<ISCED level 1>","Three or more","One","One","One","101-200 books","30 minutes or less a day",35,35,35,"Several times a month","About once a month","A few times a year","A few times a year","Several times a week","Trinidad and Tobago","Public",2296.35,2465.38,2422.32,16,4,1,5
"Trinidad and Tobago",10,"Female",5,"<ISCED level 1>","<ISCED level 1>","Three or more","One","None","None","0-10 books","Between 30 and 60 minutes",35,40,35,"Several times a month","Several times a month","Several times a month","A few times a year","Several times a week","Trinidad and Tobago","Public",2083.7,2531.65,2101.09,19,1,1,2
"Trinidad and Tobago",10,"Female",5,"Did not complete <ISCED level 1>","<ISCED level 3B, 3C>","Three or more","Two","One","Two","11-25 books","Between 30 and 60 minutes",35,35,35,"A few times a year","Never or almost never","Several times a month","Several times a month","Several times a week","Trinidad and Tobago","Public",1930.25,1948.57,1675.41,16,0,3,3
"Trinidad and Tobago",10,"Male",5,"<ISCED level 2>","<ISCED level 3A>","Three or more","Two","One","One","26-100 books","I don’t read for enjoyment",35,35,35,"A few times a year","A few times a year","A few times a year","A few times a year","Several times a week","Trinidad and Tobago","Public",2152.25,2253.35,2088.48,13,2,4,6
"Trinidad and Tobago",10,"Female",5,"<ISCED level 2>","<ISCED level 2>","Three or more","Three or more","One","Two","101-200 books","Between 30 and 60 minutes",35,35,35,"Several times a week","Several times a week","Several times a month","Several times a month","Several times a week","Trinidad and Tobago","Public",2409.29,2827.18,2463.35,23,2,2,4
"Trinidad and Tobago",10,"Male",4,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Three or more","Three or more","Two","0-10 books","Between 30 and 60 minutes",45,45,45,"Never or almost never","Never or almost never","Never or almost never","Never or almost never","Several times a week","Trinidad and Tobago","Public",2371.13,2630.94,2236.28,9,4,4,8
"Trinidad and Tobago",10,"Female",5,"<ISCED level 1>","<ISCED level 1>","Three or more","Two","None","None","26-100 books","Between 30 and 60 minutes",35,40,35,"Never or almost never","A few times a year","Several times a month","Never or almost never","Several times a week","Trinidad and Tobago","Public",2412.41,2165.03,2303.9,13,1,1,2
"Trinidad and Tobago",10,"Male",9,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","None","None","26-100 books","1 to 2 hours a day",35,35,35,"Never or almost never","About once a month","Several times a month","A few times a year","Several times a month","Trinidad and Tobago","Public",1973.09,1927.88,1742.54,14,4,4,8
"Trinidad and Tobago",101,"Male",5,"<ISCED level 3A>","<ISCED level 3A>","One","Two","One","None","0-10 books","I don’t read for enjoyment",40,40,40,"Never or almost never","Never or almost never","Never or almost never","Never or almost never","A few times a year","Trinidad and Tobago","Public",1046.15,983.09,1103.78,6,4,4,8
"Trinidad and Tobago",101,"Male",5,"<ISCED level 2>","<ISCED level 1>","Three or more","Two","None","Two","11-25 books","I don’t read for enjoyment",40,40,40,"Never or almost never","A few times a year","About once a month","Never or almost never","Several times a week","Trinidad and Tobago","Public",1997.63,1761.53,1911.31,12,2,1,3
"Trinidad and Tobago",101,"Male",5,"<ISCED level 1>","<ISCED level 1>","Three or more","One","None","One","0-10 books","30 minutes or less a day",40,40,40,"About once a month","Several times a month","A few times a year","About once a month","Several times a week","Trinidad and Tobago","Public",2055.66,2198.45,2126.71,17,1,1,2
"Trinidad and Tobago",101,"Male",5,"<ISCED level 2>","<ISCED level 3A>","Three or more","One","Two","One","11-25 books","1 to 2 hours a day",40,40,40,"A few times a year","Several times a week","Several times a month","A few times a year","Several times a week","Trinidad and Tobago","Public",1284.52,1304.98,1245.52,18,2,4,6
"Trinidad and Tobago",101,"Female",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","One","One","One","101-200 books","30 minutes or less a day",40,40,40,"Never or almost never","Never or almost never","Several times a month","Several times a month","Several times a month","Trinidad and Tobago","Public",1429.39,2041.91,1723.89,14,4,4,8
"Trinidad and Tobago",101,"Male",5,"<ISCED level 2>","<ISCED level 2>","Three or more","One","None","None","26-100 books","I don’t read for enjoyment",15,15,15,"A few times a year","A few times a year","About once a month","A few times a year","Several times a week","Trinidad and Tobago","Public",1861.7,1979.59,2337.94,14,2,2,4
"Trinidad and Tobago",101,"Male",5,"<ISCED level 3A>","<ISCED level 3A>","Two","Two","None","One","11-25 books","1 to 2 hours a day",40,40,40,"Several times a week","Several times a month","Several times a month","About once a month","Several times a week","Trinidad and Tobago","Public",1634.65,1716.64,1933.71,21,4,4,8
"Trinidad and Tobago",101,"Male",4,"<ISCED level 2>","<ISCED level 3A>","Three or more","Three or more","None","None","11-25 books","I don’t read for enjoyment",45,45,45,"A few times a year","Never or almost never","A few times a year","A few times a year","Several times a week","Trinidad and Tobago","Public",1497.16,1695.38,1606.39,12,2,4,6
"Trinidad and Tobago",101,"Female",6,"Did not complete <ISCED level 1>","<ISCED level 1>","Three or more","Three or more","One","Two","26-100 books","Between 30 and 60 minutes",40,40,40,"Several times a week","Several times a week","Several times a week","Several times a month","Several times a week","Trinidad and Tobago","Public",1637.36,1798.43,1764.92,24,0,1,1
"Trinidad and Tobago",101,"Female",5,"<ISCED level 2>","<ISCED level 3A>","Three or more","One","None","None","11-25 books","30 minutes or less a day",40,40,40,"Several times a month","About once a month","Several times a month","Several times a month","Several times a week","Trinidad and Tobago","Public",1939.59,2187.69,2079.64,20,2,4,6
"Trinidad and Tobago",101,"Female",5,"Did not complete <ISCED level 1>","<ISCED level 2>","One","Two","Two","Three or more","26-100 books","Between 30 and 60 minutes",40,40,40,"Several times a week","Several times a month","Several times a week","Several times a month","Several times a week","Trinidad and Tobago","Public",1659.17,1652.66,1801.3,23,0,2,2
"Trinidad and Tobago",101,"Male",8,"<ISCED level 3A>","<ISCED level 3A>","One","One","None","One","0-10 books","I don’t read for enjoyment",40,40,40,"Never or almost never","Never or almost never","Never or almost never","Never or almost never","Several times a week","Trinidad and Tobago","Public",1722.26,1189.93,1803.16,9,4,4,8
"Trinidad and Tobago",101,"Male",5,"<ISCED level 2>","<ISCED level 3A>","Three or more","Two","One","Two","11-25 books","I don’t read for enjoyment",40,40,40,"A few times a year","A few times a year","A few times a year","A few times a year","Several times a week","Trinidad and Tobago","Public",1632.69,1842.49,1820.87,13,2,4,6
"Trinidad and Tobago",101,"Male",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Three or more","Two","Two","101-200 books","I don’t read for enjoyment",40,40,40,"A few times a year","About once a month","A few times a year","Several times a month","Several times a week","Trinidad and Tobago","Public",1568.82,1339.04,1220.35,16,4,4,8
"Trinidad and Tobago",101,"Female",5,"Did not complete <ISCED level 1>","<ISCED level 1>","Three or more","One","None","None","11-25 books","30 minutes or less a day",40,40,40,"Never or almost never","Never or almost never","Several times a week","Never or almost never","Several times a week","Trinidad and Tobago","Public",1733.17,2343.78,2178.01,13,0,1,1
"Trinidad and Tobago",101,"Female",5,"<ISCED level 2>","<ISCED level 1>","Three or more","One","One","Two","26-100 books","30 minutes or less a day",40,40,40,"A few times a year","Never or almost never","A few times a year","About once a month","Several times a month","Trinidad and Tobago","Public",1770.95,2099.1,1952.35,12,2,1,3
"Trinidad and Tobago",101,"Female",5,"<ISCED level 2>","<ISCED level 1>","Three or more","Two","Two","One","11-25 books","30 minutes or less a day",40,40,40,"About once a month","About once a month","Several times a month","Several times a month","Several times a week","Trinidad and Tobago","Public",1741.75,1823.45,1798.49,19,2,1,3
"Trinidad and Tobago",102,"Male",6,"<ISCED level 3A>","<ISCED level 3A>","Three or more","One","None","None","26-100 books","1 to 2 hours a day",35,35,35,"Several times a month","Never or almost never","Several times a month","A few times a year","Several times a week","Trinidad and Tobago","Public",2619.6,2493.85,2658.25,16,4,4,8
"Trinidad and Tobago",102,"Male",4,"<ISCED level 3A>","<ISCED level 3A>","Three or more","One","Three or more","Two","201-500 books","More than 2 hours a day",45,60,75,"About once a month","Never or almost never","Several times a month","Several times a month","A few times a year","Trinidad and Tobago","Public",2881.33,2632.13,2928.67,14,4,4,8
"Trinidad and Tobago",102,"Male",5,"<ISCED level 3A>","<ISCED level 3A>","None","One","One","One","26-100 books","I don’t read for enjoyment",35,35,35,"About once a month","Several times a month","A few times a year","About once a month","Several times a week","Trinidad and Tobago","Public",2144.06,2065.36,2367.31,17,4,4,8
"Trinidad and Tobago",102,"Male",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","One","Two","26-100 books","I don’t read for enjoyment",35,35,35,"Several times a month","Several times a month","About once a month","About once a month","Several times a week","Trinidad and Tobago","Public",2874.32,2523.12,2817.7,19,4,4,8
"Trinidad and Tobago",102,"Male",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","One","One","11-25 books","Between 30 and 60 minutes",35,35,70,"Several times a month","About once a month","Several times a month","Several times a month","Several times a week","Trinidad and Tobago","Public",2841.59,2811.73,3041.03,20,4,4,8
"Trinidad and Tobago",102,"Male",6,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","Three or more","One","101-200 books","Between 30 and 60 minutes",35,88,88,"Several times a week","Several times a month","About once a month","About once a month","Several times a week","Trinidad and Tobago","Public",2579.88,2139.52,2498.79,20,4,4,8
"Trinidad and Tobago",102,"Male",8,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Three or more","Three or more","Two","201-500 books","I don’t read for enjoyment",35,35,35,"Never or almost never","Never or almost never","Never or almost never","Never or almost never","About once a month","Trinidad and Tobago","Public",2560.4,2351.16,2647.05,7,4,4,8
"Trinidad and Tobago",102,"Male",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","Two","One","26-100 books","1 to 2 hours a day",35,35,35,"Several times a week","Never or almost never","Several times a week","Several times a week","Several times a week","Trinidad and Tobago","Public",2549.12,2404.46,2588.3,21,4,4,8
"Trinidad and Tobago",102,"Male",4,"<ISCED level 3A>","<ISCED level 3B, 3C>","Three or more","Two","One","Two","More than 500 books","Between 30 and 60 minutes",35,35,35,"Several times a week","Several times a week","Several times a week","Several times a month","Several times a week","Trinidad and Tobago","Public",2712.3,2554.37,2561.26,24,4,3,7
"Trinidad and Tobago",102,"Male",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","One","One","101-200 books","I don’t read for enjoyment",35,35,35,"Several times a week","Several times a week","About once a month","About once a month","Several times a week","Trinidad and Tobago","Public",2424.87,2226.09,2445.64,21,4,4,8
"Trinidad and Tobago",102,"Male",4,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Three or more","Three or more","One","More than 500 books","More than 2 hours a day",35,35,70,"About once a month","A few times a year","Several times a week","A few times a year","Several times a week","Trinidad and Tobago","Public",2857.19,2881.07,2707.19,17,4,4,8
"Trinidad and Tobago",102,"Male",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","Two","Two","101-200 books","Between 30 and 60 minutes",35,35,35,"Several times a month","A few times a year","A few times a year","A few times a year","Several times a week","Trinidad and Tobago","Public",2664.79,2650.57,2480.6,15,4,4,8
"Trinidad and Tobago",102,"Male",9,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Three or more","One","One","201-500 books","I don’t read for enjoyment",35,35,35,"Several times a month","About once a month","About once a month","About once a month","Several times a week","Trinidad and Tobago","Public",2252.73,2172.78,2213.45,18,4,4,8
"Trinidad and Tobago",102,"Male",4,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Three or more","Two","Two","201-500 books","I don’t read for enjoyment",35,35,35,"A few times a year","About once a month","Several times a week","A few times a year","Several times a week","Trinidad and Tobago","Public",2533.15,2026.08,2478.27,17,4,4,8
"Trinidad and Tobago",102,"Male",6,"<ISCED level 3B, 3C>","<ISCED level 3A>","Two","One","None","One","26-100 books","I don’t read for enjoyment",35,35,35,"About once a month","Never or almost never","About once a month","About once a month","Several times a week","Trinidad and Tobago","Public",2361.78,2075.78,2331.87,15,3,4,7
"Trinidad and Tobago",102,"Male",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Three or more","One","Two","More than 500 books","Between 30 and 60 minutes",35,35,35,"A few times a year","Several times a week","Several times a week","A few times a year","Several times a week","Trinidad and Tobago","Public",2599.36,2516.31,2505.32,19,4,4,8
"Trinidad and Tobago",102,"Male",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","Three or more","Two","More than 500 books","1 to 2 hours a day",110,110,110,"Never or almost never","Never or almost never","About once a month","About once a month","Never or almost never","Trinidad and Tobago","Public",3067.49,3010.13,3108.64,9,4,4,8
"Trinidad and Tobago",102,"Male",4,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","One","Three or more","More than 500 books","30 minutes or less a day",45,45,45,"Several times a week","Never or almost never","Several times a week","A few times a year","Several times a week","Trinidad and Tobago","Public",2153.01,1870.55,1995.25,18,4,4,8
"Trinidad and Tobago",102,"Male",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","Three or more","Two","26-100 books","I don’t read for enjoyment",70,70,105,"About once a month","Never or almost never","About once a month","A few times a year","Several times a month","Trinidad and Tobago","Public",2782.4,2790.88,2798.11,13,4,4,8
"Trinidad and Tobago",102,"Male",4,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","One","Two","More than 500 books","Between 30 and 60 minutes",35,35,35,"Several times a month","A few times a year","Several times a week","Several times a week","Several times a week","Trinidad and Tobago","Public",2874.32,2903.91,2987.42,21,4,4,8
"Trinidad and Tobago",103,"Female",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","One","One","One","201-500 books","1 to 2 hours a day",40,40,40,"Never or almost never","Never or almost never","About once a month","Several times a week","Several times a week","Trinidad and Tobago","Public",2525.34,2547.95,2561.27,15,4,4,8
"Trinidad and Tobago",103,"Female",4,"<ISCED level 3A>","Did Not Complete <ISCED level 1>","Three or more","Three or more","One","Three or more","26-100 books","30 minutes or less a day",40,40,40,"Several times a month","About once a month","About once a month","A few times a year","Several times a week","Trinidad and Tobago","Public",2643.76,2605.93,2539.35,17,4,0,4
"Trinidad and Tobago",103,"Female",5,"<ISCED level 1>","<ISCED level 1>","Three or more","Three or more","Three or more","One","26-100 books","1 to 2 hours a day",40,40,40,"A few times a year","Never or almost never","About once a month","A few times a year","Several times a month","Trinidad and Tobago","Public",2318.94,2382.31,2185.46,12,1,1,2
"Trinidad and Tobago",103,"Female",6,"<ISCED level 3A>","<ISCED level 1>","Three or more","One","One","None","26-100 books","30 minutes or less a day",40,40,40,"Never or almost never","Never or almost never","About once a month","About once a month","Several times a week","Trinidad and Tobago","Public",2558.84,2623.41,2555.68,13,4,1,5
"Trinidad and Tobago",103,"Female",5,"<ISCED level 3A>","<ISCED level 2>","Three or more","Two","One","Three or more","201-500 books","1 to 2 hours a day",40,40,40,"A few times a year","A few times a year","Several times a week","Several times a month","Several times a week","Trinidad and Tobago","Public",2294.4,2011.72,2233.03,18,4,2,6
"Trinidad and Tobago",103,"Female",4,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Three or more","One","Two","201-500 books","I don’t read for enjoyment",40,40,40,"A few times a year","Several times a month","About once a month","A few times a year","About once a month","Trinidad and Tobago","Public",2459.14,2039.52,2305.29,14,4,4,8
"Trinidad and Tobago",103,"Female",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","One","One","11-25 books","I don’t read for enjoyment",40,40,40,"A few times a year","Several times a week","Several times a month","Never or almost never","Several times a week","Trinidad and Tobago","Public",2029.18,2135.25,1915.99,17,4,4,8
"Trinidad and Tobago",103,"Female",5,"<ISCED level 3A>","<ISCED level 2>","Three or more","One","None","None","201-500 books","I don’t read for enjoyment",40,40,40,"A few times a year","A few times a year","Several times a month","Several times a month","Several times a week","Trinidad and Tobago","Public",2583.79,2577.73,2155.18,17,4,2,6
"Trinidad and Tobago",103,"Female",4,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","One","Two","26-100 books","I don’t read for enjoyment",40,40,40,"About once a month","A few times a year","About once a month","Never or almost never","Several times a week","Trinidad and Tobago","Public",2475.11,2338.23,2338.4,14,4,4,8
"Trinidad and Tobago",103,"Female",5,"<ISCED level 3A>","<ISCED level 2>","Three or more","Two","None","One","0-10 books","More than 2 hours a day",40,40,40,"About once a month","Several times a month","Several times a month","About once a month","Several times a week","Trinidad and Tobago","Public",2128.88,2384.29,1984.99,19,4,2,6
"Trinidad and Tobago",103,"Female",5,"<ISCED level 3B, 3C>","<ISCED level 3A>","Three or more","One","None","None","26-100 books","30 minutes or less a day",40,40,40,"A few times a year","Never or almost never","A few times a year","Never or almost never","Several times a week","Trinidad and Tobago","Public",2255.46,2059.39,1723.89,11,3,4,7
"Trinidad and Tobago",103,"Female",5,"<ISCED level 2>","<ISCED level 2>","Three or more","Two","One","Two","0-10 books","30 minutes or less a day",40,40,40,"Several times a month","Never or almost never","Several times a month","Several times a month","Several times a week","Trinidad and Tobago","Public",2643.74,2618.25,2622.81,18,2,2,4
"Trinidad and Tobago",103,"Female",4,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","Two","Two","Two","101-200 books","More than 2 hours a day",40,40,40,"Several times a month","A few times a year","Several times a week","Several times a month","Several times a week","Trinidad and Tobago","Public",2477.85,2717.16,2661.98,20,3,3,6
"Trinidad and Tobago",103,"Female",5,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","Three or more","One","Two","26-100 books","Between 30 and 60 minutes",40,40,40,"Several times a month","Never or almost never","A few times a year","A few times a year","Several times a week","Trinidad and Tobago","Public",2484.07,2290.56,2049.33,14,3,3,6
"Trinidad and Tobago",103,"Female",5,"<ISCED level 1>","<ISCED level 2>","Three or more","One","Two","One","26-100 books","1 to 2 hours a day",40,40,40,"Never or almost never","A few times a year","Several times a week","About once a month","A few times a year","Trinidad and Tobago","Public",2484.06,2631.76,2596.71,13,1,2,3
"Trinidad and Tobago",103,"Female",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Three or more","One","Two","11-25 books","Between 30 and 60 minutes",40,40,40,"A few times a year","Never or almost never","Several times a week","About once a month","Several times a week","Trinidad and Tobago","Public",2572.07,2599.58,2479.2,16,4,4,8
"Trinidad and Tobago",103,"Female",6,"<ISCED level 2>","<ISCED level 2>","Three or more","Two","One","Two","26-100 books","I don’t read for enjoyment",40,40,40,"A few times a year","Never or almost never","Several times a week","Several times a week","Several times a week","Trinidad and Tobago","Public",2463.82,2441.89,2308.56,18,2,2,4
"Trinidad and Tobago",103,"Female",5,"<ISCED level 3A>","<ISCED level 3A>","Three or more","One","One","One","11-25 books","30 minutes or less a day",40,40,40,"A few times a year","A few times a year","A few times a year","Several times a week","Several times a week","Trinidad and Tobago","Public",2655.43,2657.56,2415.79,16,4,4,8
"Trinidad and Tobago",103,"Female",4,"<ISCED level 3A>","<ISCED level 1>","Three or more","One","One","None","26-100 books","More than 2 hours a day",40,40,40,"Never or almost never","Several times a month","Several times a week","About once a month","About once a month","Trinidad and Tobago","Public",2896.13,3138.97,2879.25,16,4,1,5
"Trinidad and Tobago",103,"Female",4,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","One","Two","26-100 books","30 minutes or less a day",40,40,40,"Several times a week","About once a month","About once a month","Several times a month","Several times a week","Trinidad and Tobago","Public",2137.82,2233.36,2094.09,20,4,4,8
"Trinidad and Tobago",103,"Female",6,"<ISCED level 2>","<ISCED level 1>","Three or more","One","None","One","26-100 books","More than 2 hours a day",40,40,40,"A few times a year","Never or almost never","A few times a year","About once a month","Several times a week","Trinidad and Tobago","Public",2311.15,2323.52,2248.87,13,2,1,3
"Trinidad and Tobago",103,"Female",5,"<ISCED level 3A>","<ISCED level 3B, 3C>","Three or more","Two","One","One","201-500 books","Between 30 and 60 minutes",40,40,40,"About once a month","A few times a year","Several times a month","A few times a year","Several times a week","Trinidad and Tobago","Public",2567.41,2381.91,2588.3,16,4,3,7
"Trinidad and Tobago",103,"Female",5,"<ISCED level 3A>","<ISCED level 1>","Three or more","Three or more","One","Two","101-200 books","Between 30 and 60 minutes",40,40,40,"Several times a month","Never or almost never","Several times a month","Never or almost never","Never or almost never","Trinidad and Tobago","Public",2425.64,2352.13,2346.79,11,4,1,5
"Trinidad and Tobago",103,"Female",4,"<ISCED level 2>","Did Not Complete <ISCED level 1>","Three or more","Three or more","One","Two","26-100 books","Between 30 and 60 minutes",40,40,40,"A few times a year","Several times a week","Several times a week","About once a month","Several times a week","Trinidad and Tobago","Public",1808.35,1967.24,1846.98,20,2,0,2
"Trinidad and Tobago",103,"Female",4,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","Two","One","26-100 books","I don’t read for enjoyment",40,45,40,"Several times a week","About once a month","Several times a week","About once a month","Several times a week","Trinidad and Tobago","Public",2216.89,2395.82,2015.76,21,4,4,8
"Trinidad and Tobago",104,"Male",5,"<ISCED level 3A>","Did Not Complete <ISCED level 1>","Three or more","Two","One","None","26-100 books","Between 30 and 60 minutes",45,60,45,"About once a month","Several times a week","Never or almost never","Never or almost never","A few times a year","Trinidad and Tobago","Private",1737.86,1784.78,1539.27,12,4,0,4
"Trinidad and Tobago",104,"Female",5,"<ISCED level 3A>","<ISCED level 3A>","Two","One","None","None","26-100 books","Between 30 and 60 minutes",45,45,45,"About once a month","Never or almost never","Several times a week","Never or almost never","Several times a week","Trinidad and Tobago","Private",1771.73,1741.63,1634.37,15,4,4,8
"Trinidad and Tobago",104,"Female",4,"<ISCED level 3B, 3C>","<ISCED level 3B, 3C>","Three or more","Two","None","Three or more","101-200 books","Between 30 and 60 minutes",45,60,30,"Never or almost never","Several times a week","Several times a month","A few times a year","Several times a month","Trinidad and Tobago","Private",1295.4,1487.42,1356.49,16,3,3,6
"Trinidad and Tobago",104,"Male",6,"<ISCED level 3A>","<ISCED level 3A>","Three or more","Two","None","None","201-500 books","I don’t read for enjoyment",45,45,45,"Never or almost never","Never or almost never","Never or almost never","Never or almost never","Never or almost never","Trinidad and Tobago","Private",1712.13,1474.93,1509.41,5,4,4,8
